,Date,Review_Score,Review_Text
250,"June 9, 2018",5,"it is light, easy to operate and very dependable application."
251,"June 7, 2018",3,overall easy to use but would prefer it to be in english
252,"June 13, 2018",5,it's fantastic to use this app and i'm satisfying
253,"June 8, 2018",5,it's easy to use and help in everywhere
254,"June 16, 2018",5,really good layout and user friendly
255,"June 7, 2018",5,usuable though i dont read norkse
256,"June 6, 2018",5,veldig bra
257,"June 8, 2018",5,super mb
258,"June 15, 2018",5,bra app
259,"June 12, 2018",5,bank any where
260,"June 10, 2018",5,great app. compact and user friendly.
261,"June 20, 2018",5,"easy access, amazing"
262,"June 20, 2018",5,super great ***** easy to use
263,"June 12, 2018",5,keep it the good work
264,"June 17, 2018",5,funker
265,"June 7, 2018",5,easy to use.
266,"June 8, 2018",5,perfect!
267,"June 14, 2018",4,very nice
268,"June 9, 2018",5,very useful
269,"June 12, 2018",4,very efficient
270,"June 7, 2018",5,excellent
271,"May 26, 2018",4,"after the latest update i have two icons for the application in my meny. i 
tried to reinstall it and it is same"
272,"March 21, 2018",4,finger opp låsing fungere fortsatt ikke på samsung galaxy note 8 edit fungere etter avinstallere app og innstallere igjen.
273,"March 20, 2018",2,"etter siste oppdatering er også appen blitt like uoversiktlig som nettbanken. ingen totalsum for alle kontoer, viser ikke prosentvis endring for fond på fremsiden, mye av plassen brukes til «reklame» for tjenester. man trenger ikke er valg for å søke lån på hovedside, folk søker ikke lån daglig. fon...full review"
274,"March 8, 2018",1,"i need this app for my online banking, but it seems it does not have english language. please add it for your thousands of customers who speak english. best"
275,"March 7, 2018",4,good but what's with the ad for opening some savings account?
276,"February 9, 2018",2,nothing wrong with the app... except it cannot be moved to the sd card. i hate apps that take up space on the phone!
277,"February 19, 2018",1,the new app failed to login and keep going back to the first page  i use samsung s6 edge and the  android version is 7.0
